Assignee,Closed,Opened,Opener,Spendtime,Summary,Type
sarutak,2015/03/25 20:27:21,2015/03/25 18:44:48,sarutak,6153,UIWorkloadGenerator: The main thread should not stop SparkContext until all jobs finish,Bug
,2015/03/25 23:12:27,2015/03/25 17:45:33,ashafer@linkedin.com,19614,Task ID and Index columns appear to be reversed on AM web UI,Bug
,2015/03/25 22:20:52,2015/03/25 15:19:26,brianok,25286,LDAModel.scala fails scalastyle on Windows,Bug
,2015/03/25 21:59:09,2015/03/25 06:06:20,yinxusen,57169,Add new feature transformers in ML package,Improvement
,2015/03/25 22:03:49,2015/03/25 04:25:26,lee.xiaobo,63503,"Error when get attribute of StandardScalerModel, When use python api",Bug
mengxr,2015/03/25 00:06:30,2015/03/24 19:52:45,mengxr,15225,Add contains to OpenHashMap,Improvement
,2015/03/25 13:47:55,2015/03/24 14:48:29,lian cheng,82766,Create separate Hive Driver instance for each SQL query in HiveThriftServer2,Bug
,2015/03/24 13:09:25,2015/03/24 12:59:17,nafshartous,608,Scala code example in README.md does not compile,Bug
,2015/03/24 16:33:35,2015/03/24 11:50:21,surajshetiya,16994,pyspark dataframe filter does not work as expected,Bug
yanboliang,2015/03/25 17:07:08,2015/03/24 11:10:21,yanboliang,21407,Multinomial Logistic Regression failed when initialWeights is not null,Bug
,2015/03/25 11:45:36,2015/03/24 08:59:13,debugger87,9983,DataFrame#insertInto method should support insert rows with sub-columns,Improvement
,2015/03/24 10:02:28,2015/03/24 08:52:37,shijinkui,4191,rdd polymorphic method zipPartitions refactor,Improvement
zzcclp,2015/03/25 11:12:04,2015/03/24 01:22:46,zzcclp,35358,Spark SQL udf(ScalaUdf) is very slow,Improvement
boyork,2015/03/24 10:33:36,2015/03/23 21:52:31,boyork,45665,Run MIMA tests before the Spark test suite,Improvement
,2015/03/24 22:51:36,2015/03/23 21:44:56,rvernica,4000,Spark fileserver not started on same IP as using spark.driver.host,Bug
mengxr,2015/03/24 17:11:38,2015/03/23 21:32:50,mengxr,70728,DataFrame should support array types when creating DFs from JavaBeans.,Improvement
,2015/03/24 13:52:26,2015/03/23 20:24:09,vanzin,62897,Launcher lib shouldn't try to figure out Scala version when not in dev mode,Bug
,2015/03/23 19:08:26,2015/03/23 19:02:02,yhuai,384,Elements of an array of structs cannot be accessed.,Bug
preaudc,2015/03/25 00:07:17,2015/03/23 14:04:56,preaudc,36141,Improving documentation on YARN local directories usage,Documentation
June.He,2015/03/26 02:22:44,2015/03/23 08:13:12,June.He,65372,AttributeSet.equal should compare size,Bug
marmbrus,2015/03/24 19:10:05,2015/03/22 19:34:20,marmbrus,84945,Warn when Column API is constructing trivially true equality,Improvement
marmbrus,2015/03/24 21:11:27,2015/03/22 19:31:46,marmbrus,5981,Bad error message for invalid data sources,Bug
,2015/03/23 02:31:03,2015/03/22 17:26:28,josephkb,32675,Error when calling Pyspark RandomForestModel.load,Bug
,2015/03/24 09:32:05,2015/03/22 17:05:35,pankajch,59190,Spark Sql throwing exception on large partitioned data,Bug
yuhc,2015/03/22 15:51:33,2015/03/22 13:09:08,yuhc,9745,Correct some mistakes and typos,Documentation
smugakamil,2015/03/22 15:57:28,2015/03/22 12:05:36,srowen,13912,Fix several broken links in PySpark docs,Bug
jongyoul,2015/03/22 15:55:17,2015/03/22 09:33:47,jongyoul,22890,Some Mesos*Suite have a different package with their classes,Improvement
lian cheng,2015/03/24 08:12:32,2015/03/22 07:53:59,lian cheng,1113,CheckAnalysis should throw when the Aggregate node contains missing input attribute(s),Bug
lian cheng,2015/03/26 00:40:38,2015/03/22 02:26:46,chinnitv,80032,Metastore Parquet table conversion fails when a single metastore Parquet table appears multiple times in the query,Bug
,2015/03/24 10:58:29,2015/03/21 22:57:09,rdub,43280,Driver OOM results in reported application result SUCCESS,Bug
rdub,2015/03/22 11:55:53,2015/03/21 22:11:29,rdub,49464,History server doesn't log exception when failing to replay log file,Improvement
,2015/03/21 21:42:17,2015/03/21 19:35:25,pankajch,7612,Spark Sql hive query is not working on spark1.3 version,Bug
